Date,Open,Close,Change,Volume
10/1/1985,110.620003,112.139999,0.013740698,153160000
10/2/1985,112.139999,110.824997,-0.011726431,164640000
10/3/1985,110.839996,110.870003,0.000270724,147300000
10/4/1985,110.870003,110.074997,-0.007170614,147900000
10/7/1985,110.074997,108.199997,-0.017033841,128640000
10/8/1985,108.199997,107.160004,-0.009611766,144100000
10/9/1985,107.160004,108.629997,0.013717739,156200000
10/10/1985,108.629997,109.434998,0.007410485,154840000
10/11/1985,109.434998,111.050003,0.014757665,158220000
10/14/1985,111.050003,113.184998,0.019225529,123120000
10/15/1985,113.184998,113.379997,0.001722834,171360000
10/16/1985,113.379997,114.315002,0.008246649,175120000
10/17/1985,114.315002,114.739998,0.003717762,190940000
10/18/1985,114.739998,114.32,-0.003660432,180880000
10/21/1985,114.32,113.68,-0.005598321,142800000
10/22/1985,113.800003,114.440002,0.005623893,157740000
10/23/1985,114.440002,115.065002,0.005461377,202200000
10/24/1985,115.065002,115.485001,0.003650102,190860000
10/25/1985,115.485001,113.910004,-0.013638109,165840000
10/28/1985,113.910004,113.82,-0.000790133,131460000
10/29/1985,113.82,115.400002,0.013881585,163400000
10/30/1985,115.400002,115.769997,0.003206196,196040000
10/31/1985,115.769997,115.480003,-0.002504915,169920000
11/1/1985,115.480003,116.275002,0.0068843,180180000
11/4/1985,116.275002,116.040001,-0.002021079,150680000
11/5/1985,116.040001,116.440002,0.003447096,175360000
11/6/1985,116.440002,117.379997,0.008072784,187000000
11/7/1985,117.379997,117.620003,0.002044693,177280000
11/8/1985,117.620003,119.260002,0.013943198,173520000
11/11/1985,119.260002,120.400002,0.009558947,160780000
11/12/1985,120.389999,121.82,0.011878071,216600000
11/13/1985,121.82,121.165001,-0.005376777,186420000
11/14/1985,121.165001,121.834999,0.005529633,196080000
11/15/1985,121.834999,122.175003,0.002790692,190540000
11/18/1985,122.175003,121.955002,-0.001800704,164420000
11/19/1985,121.955002,122.57,0.005042827,203600000
11/20/1985,122.57,122.199997,-0.003018708,195200000
11/21/1985,122.199997,123.610001,0.011538495,239800000
